file,mode,slide,field,camera,spectral,dx,dy,rotation_deg,scale_x,scale_y,shear_deg,score,m00,m01,m02,m10,m11,m12,m20,m21,m22,is_inlier,dx_inlier,dy_inlier,rotation_deg_inlier,scale_x_inlier,scale_y_inlier,shear_deg_inlier
batch_affine_results/blue/slide-19_field-1/best_affine.txt,blue,19,1,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-1_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-1_spectral-blue.nd2,-25.1271,1.8933,-2.605255,1.033771,0.984572,1.74101,3264042496.0,1.0327028,0.07614307,-52.99167362,-0.04698968,0.98212563,18.4985001,0.0,0.0,1.0,False,True,True,True,True,True,False
batch_affine_results/blue/slide-19_field-2/best_affine.txt,blue,19,2,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-2_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-2_spectral-blue.nd2,-28.4465,0.565,-2.599659,1.031725,0.979452,0.273365,5420845568.0,1.03066298,0.04934251,-48.92788318,-0.04679599,0.97822106,18.12014735,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/blue/slide-19_field-3/best_affine.txt,blue,19,3,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-3_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-3_spectral-blue.nd2,-23.5829,-1.3283,-2.688192,1.01238,0.996192,-1.549382,4110828544.0,1.01126618,0.01936882,-31.42546277,-0.04748123,0.99637963,11.75369565,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/blue/slide-19_field-4/best_affine.txt,blue,19,4,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-4_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-4_spectral-blue.nd2,-25.6538,2.5938,-2.399216,1.025639,0.983703,-0.505919,4263030528.0,1.0247399,0.03213111,-40.21277122,-0.04293528,0.98321943,17.88106495,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/blue/slide-19_field-5/best_affine.txt,blue,19,5,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-5_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-5_spectral-blue.nd2,-23.5289,-0.127,-1.166404,1.028671,1.026355,-0.676778,5456066560.0,1.02845785,0.00874397,-33.05258036,-0.02093982,1.02638985,-1.52218848,0.0,0.0,1.0,False,True,True,False,True,True,True
batch_affine_results/blue/slide-19_field-6/best_affine.txt,blue,19,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-19_field-6_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-19_field-6_spectral-blue.nd2,-23.7765,0.7854,-2.999622,1.016011,1.001728,0.082948,5239754240.0,1.01461882,0.05388871,-41.31444504,-0.05316721,1.00027895,14.32484029,0.0,0.0,1.0,False,True,True,False,True,True,True
batch_affine_results/blue/slide-21_field-14/best_affine.txt,blue,21,14,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-21_field-14_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-21_field-14_spectral-blue.nd2,-24.3413,0.9319,-2.529371,1.023894,0.980904,-1.466973,3134670080.0,1.02289651,0.0170933,-34.57873035,-0.045186,0.98110524,17.33659641,0.0,0.0,1.0,True,True,True,True,True,True,True
batch_affine_results/blue/slide-9_field-6/best_affine.txt,blue,9,6,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-9_field-6_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-9_field-6_spectral-blue.nd2,-29.0862,-13.595,-2.501059,1.028573,1.032118,-0.262237,2934162432.0,1.02759336,0.04033619,-46.47621377,-0.04488472,1.03134019,-10.12762785,0.0,0.0,1.0,False,True,False,True,True,True,True
batch_affine_results/blue/slide-9_field-9/best_affine.txt,blue,9,9,../../data/Dataset_300Fovs/RAW/EYrainbow_slide-9_field-9_camera-DAPI.nd2,../../data/Dataset_300Fovs/unmixed/unmixed_EYrainbow_slide-9_field-9_spectral-blue.nd2,-37.9799,2.509,-2.026471,1.155754,1.014679,3.83032,4140709376.0,1.15503087,0.11321128,-106.64984879,-0.04086885,1.01130809,10.07650918,0.0,0.0,1.0,False,False,True,False,False,True,False
