filename,axes,shape
EYrainbow_slide-19_field-1_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-1_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-1_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-1_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-1_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-1_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-2_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-2_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-2_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-2_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-2_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-2_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-3_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-3_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-3_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-3_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-3_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-3_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-4_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-4_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-4_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-4_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-4_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-4_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-5_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-5_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-5_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-5_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-5_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-5_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-6_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-6_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-6_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-6_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-19_field-6_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-19_field-6_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-21_field-14_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-21_field-14_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-21_field-14_camera-TRITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-21_field-14_camera-YFP.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-21_field-14_spectral-green.nd2,"Y,X","(512, 512)"
EYrainbow_slide-21_field-14_spectral-yellow.nd2,"Y,X","(512, 512)"
EYrainbow_slide-9_field-6_camera-DAPI.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-9_field-6_camera-FITC.nd2,"Y,X","(1024, 1024)"
EYrainbow_slide-9_field-9_camera-DAPI.nd2,"Y,X","(1024, 1024)"
