FOV,spectral,camera,affine_path,out_dir,corr_norm_intensity
1,blue,DAPI,outputs_2d/FOV-1/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-1/blue_to_DAPI/applied_affine_output,0.12531245512639022
1,green,FITC,outputs_2d/FOV-1/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-1/green_to_FITC/applied_affine_output,0.11009731879970241
1,yellow,YFP,outputs_2d/FOV-1/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-1/yellow_to_YFP/applied_affine_output,0.0884785354267517
1,red,TRITC,outputs_2d/FOV-1/red_to_TRITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-1/red_to_TRITC/applied_affine_output,0.06399026241664048
2,blue,DAPI,outputs_2d/FOV-2/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-2/blue_to_DAPI/applied_affine_output,0.1271366466312617
2,green,FITC,outputs_2d/FOV-2/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-2/green_to_FITC/applied_affine_output,0.09029344575377188
2,yellow,YFP,outputs_2d/FOV-2/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-2/yellow_to_YFP/applied_affine_output,0.10081825469867049
2,red,TRITC,outputs_2d/FOV-2/red_to_TRITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-2/red_to_TRITC/applied_affine_output,0.0076919822950645925
3,blue,DAPI,outputs_2d/FOV-3/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-3/blue_to_DAPI/applied_affine_output,0.11534819305030301
3,green,FITC,outputs_2d/FOV-3/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-3/green_to_FITC/applied_affine_output,0.07281982794465887
3,yellow,YFP,outputs_2d/FOV-3/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-3/yellow_to_YFP/applied_affine_output,0.06602203736961472
4,blue,DAPI,outputs_2d/FOV-4/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-4/blue_to_DAPI/applied_affine_output,0.10128327316521311
4,green,FITC,outputs_2d/FOV-4/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-4/green_to_FITC/applied_affine_output,0.054680343547260916
4,yellow,YFP,outputs_2d/FOV-4/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-4/yellow_to_YFP/applied_affine_output,0.026460967321299822
4,red,TRITC,outputs_2d/FOV-4/red_to_TRITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-4/red_to_TRITC/applied_affine_output,0.008249479013091976
5,blue,DAPI,outputs_2d/FOV-5/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-5/blue_to_DAPI/applied_affine_output,0.1336509952043421
5,green,FITC,outputs_2d/FOV-5/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-5/green_to_FITC/applied_affine_output,0.21081516094797798
5,yellow,YFP,outputs_2d/FOV-5/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-5/yellow_to_YFP/applied_affine_output,0.19342238557279415
5,red,TRITC,outputs_2d/FOV-5/red_to_TRITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-5/red_to_TRITC/applied_affine_output,0.10235157315322603
6,blue,DAPI,outputs_2d/FOV-6/blue_to_DAPI/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-6/blue_to_DAPI/applied_affine_output,0.13230440121071632
6,green,FITC,outputs_2d/FOV-6/green_to_FITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-6/green_to_FITC/applied_affine_output,0.20934492340517857
6,yellow,YFP,outputs_2d/FOV-6/yellow_to_YFP/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-6/yellow_to_YFP/applied_affine_output,0.03181912705158685
6,red,TRITC,outputs_2d/FOV-6/red_to_TRITC/mask_affine_mutualNN_ransac/affine_matrix_3x3.txt,outputs_2d/FOV-6/red_to_TRITC/applied_affine_output,0.056232060529010156
