FOV,pair,method,inlier_pct_10px,median_error_px,PASS,syn_status,num_cam_centroids_in_crop,num_spec_centroids
1,blue->DAPI,affine,94.44444444444444,1.8025080635278536,YES,,21,18
1,blue->DAPI,syn,77.77777777777779,2.982476419083988,NO,OK,21,18
1,green->FITC,affine,100.0,0.8751868821027948,YES,,34,22
1,green->FITC,syn,100.0,0.9096585561120647,YES,OK,34,22
1,yellow->YFP,affine,95.65217391304348,1.3194499428350757,YES,,40,23
1,yellow->YFP,syn,95.65217391304348,1.442458265065712,YES,OK,40,23
1,red->TRITC,affine,100.0,1.5398744786150709,YES,,35,22
1,red->TRITC,syn,100.0,1.6345113629784864,YES,OK,35,22
3,yellow->YFP,affine,100.0,2.348500013714892,YES,,37,20
3,yellow->YFP,syn,100.0,2.1819846383965444,YES,OK,37,20
5,red->TRITC,affine,10.256410256410255,35.75181301180249,NO,,46,39
5,red->TRITC,syn,10.256410256410255,35.535072195040634,NO,OK,46,39
