FOV,pair,status,dice_before,dice_after,dice_delta,out_dir
1,blue->DAPI,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-1/blue_to_DAPI/maskDT_affine
1,green->FITC,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-1/green_to_FITC/maskDT_affine
1,yellow->YFP,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-1/yellow_to_YFP/maskDT_affine
1,red->TRITC,OK,0.0,0.3483636363636364,0.3483636363636364,outputs_2d_w_masks/FOV-1/red_to_TRITC/maskDT_affine
2,blue->DAPI,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-2/blue_to_DAPI/maskDT_affine
2,green->FITC,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-2/green_to_FITC/maskDT_affine
2,yellow->YFP,OK,0.013302294645826405,0.0,-0.013302294645826405,outputs_2d_w_masks/FOV-2/yellow_to_YFP/maskDT_affine
2,red->TRITC,OK,0.0,0.10454410454410454,0.10454410454410454,outputs_2d_w_masks/FOV-2/red_to_TRITC/maskDT_affine
3,blue->DAPI,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-3/blue_to_DAPI/maskDT_affine
3,green->FITC,OK,0.0,0.03382287494437027,0.03382287494437027,outputs_2d_w_masks/FOV-3/green_to_FITC/maskDT_affine
3,yellow->YFP,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-3/yellow_to_YFP/maskDT_affine
3,red->TRITC,OK,0.0,0.003208985158443642,0.003208985158443642,outputs_2d_w_masks/FOV-3/red_to_TRITC/maskDT_affine
4,blue->DAPI,OK,0.0,0.0,0.0,outputs_2d_w_masks/FOV-4/blue_to_DAPI/maskDT_affine
4,green->FITC,OK,0.02031316123571731,0.02750322303394929,0.007190061798231982,outputs_2d_w_masks/FOV-4/green_to_FITC/maskDT_affine
4,yellow->YFP,OK,0.0020782819535850364,0.0,-0.0020782819535850364,outputs_2d_w_masks/FOV-4/yellow_to_YFP/maskDT_affine
4,red->TRITC,OK,0.016335227272727272,0.03628601921024546,0.01995079193751819,outputs_2d_w_masks/FOV-4/red_to_TRITC/maskDT_affine
5,blue->DAPI,OK,0.0,0.0069605568445475635,0.0069605568445475635,outputs_2d_w_masks/FOV-5/blue_to_DAPI/maskDT_affine
5,green->FITC,OK,0.009141207601635795,0.016132974822781716,0.0069917672211459204,outputs_2d_w_masks/FOV-5/green_to_FITC/maskDT_affine
5,yellow->YFP,OK,0.020206457280913682,0.0,-0.020206457280913682,outputs_2d_w_masks/FOV-5/yellow_to_YFP/maskDT_affine
5,red->TRITC,OK,0.0057156465825196475,0.009097438352884846,0.003381791770365198,outputs_2d_w_masks/FOV-5/red_to_TRITC/maskDT_affine
6,blue->DAPI,OK,0.0,0.01598173515981735,0.01598173515981735,outputs_2d_w_masks/FOV-6/blue_to_DAPI/maskDT_affine
6,green->FITC,OK,0.025302220972729828,0.0034453057708871662,-0.02185691520184266,outputs_2d_w_masks/FOV-6/green_to_FITC/maskDT_affine
6,yellow->YFP,OK,0.016894087069525665,0.0,-0.016894087069525665,outputs_2d_w_masks/FOV-6/yellow_to_YFP/maskDT_affine
6,red->TRITC,OK,0.0101931330472103,0.010804970286331712,0.0006118372391214124,outputs_2d_w_masks/FOV-6/red_to_TRITC/maskDT_affine
